Row,Username,Platform,Timestamp,Comment
1,user101,Twitter,2026-07-06 10:00:00 UTC,Great work on the project! Keep it up.
2,user102,Twitter,2026-07-06 10:01:00 UTC,You are completely useless and should quit.
3,user103,Instagram,2026-07-06 10:02:00 UTC,I will find you tomorrow. Watch your back.
4,user104,Facebook,2026-07-06 10:03:00 UTC,Buy followers now! Visit spam-site.com
5,user105,Twitter,2026-07-06 10:04:00 UTC,Normal discussion about today's meeting.
6,bot001,Instagram,2026-07-06 10:10:00 UTC,Click this link now for free money!
7,bot002,Twitter,2026-07-06 10:10:20 UTC,Click this link now for free money!
8,bot003,Facebook,2026-07-06 10:10:40 UTC,Click this link now for free money!
9,user106,Instagram,2026-07-06 10:12:00 UTC,Nobody likes you. Leave this platform.
10,user107,Twitter,2026-07-06 10:13:00 UTC,Have a wonderful day everyone!
11,user108,Facebook,2026-07-06 10:14:00 UTC,Congratulations on your achievement!
12,user109,Instagram,2026-07-06 10:15:00 UTC,Let's discuss the latest football match.
